Brand,Description,Size,PurchasePrice,VendorNumber,VendorName
419,Absolut Citron,1000mL,15.99,17035,PERNOD RICARD USA
423,Hennessy Richard Cognac,750mL,3352.93,8112,MOET HENNESSY USA INC
425,Hennessy Paradis,750mL,620.15,8112,MOET HENNESSY USA INC
426,Crystal Head Vodka,50mL,6.29,9165,ULTRA BEVERAGE COMPANY LLP
430,Montezuma Triple Sec,1000mL,1.99,660,SAZERAC NORTH AMERICA INC.
435,Il Tramonto Limoncello,750mL,12.79,7153,PINE STATE TRADING CO
436,Ch de Haute-Serre Malbec,750mL,13.15,10754,PERFECTA WINES
438,Licor 43 Vanilla Liqueur,750mL,12.77,4425,MARTIGNETTI COMPANIES
443,St Germain Liqueur,750mL,24.45,480,BACARDI USA INC
446,St Urbans-Hof Rsl,750mL,10.34,10754,PERFECTA WINES
450,Vincent Van Gogh Double Esp,750mL,19.52,4425,MARTIGNETTI COMPANIES
451,Hiram Walker Triple Sec,1000mL,3.59,17035,PERNOD RICARD USA
452,Hiram Walker Peppermint Schn,1000mL,6.81,17035,PERNOD RICARD USA
453,Hornitos Reposado Tequila,1000mL,21.01,12546,JIM BEAM BRANDS COMPANY
463,Kirk & Sweeney Reserva Rum,750mL,26.8,653,STATE WINE & SPIRITS
482,Absolut 80 Proof,1000mL,14.28,17035,PERNOD RICARD USA
485,Seagrams 7 Crown,1000mL,10.39,3960,DIAGEO NORTH AMERICA INC
495,Sweet Carolina Sweet Tea Vdk,1000mL,12.49,8004,SAZERAC CO INC
497,Capt Morgan Spiced Rum,1000mL,14.7,3960,DIAGEO NORTH AMERICA INC
500,Remy Martin Louis XIII,750mL,2290.07,7239,REMY COINTREAU USA INC
506,Robert Sinskey Pnt Gris,375mL,16.77,10754,PERFECTA WINES
507,Kamchatka Vodka,1750mL,8.14,12546,JIM BEAM BRANDS COMPANY
508,Bacardi Superior Rum,1000mL,9.77,480,BACARDI USA INC
513,Ocean Organic Vodka,750mL,23.8,9165,ULTRA BEVERAGE COMPANY LLP
516,Kamora Coffee Liqueur,1000mL,8.52,12546,JIM BEAM BRANDS COMPANY
523,Castello Del Poggio Moscato,750mL,7.09,4425,MARTIGNETTI COMPANIES
529,Desert Island Iced Tea,1000mL,5.61,8004,SAZERAC CO INC
531,Hiram Walker Gr Cr de Menthe,750mL,5.65,17035,PERNOD RICARD USA
538,Amaretto DiSaronno,375mL,7.96,2555,DISARONNO INTERNATIONAL LLC
539,Bowman's Vodka,1000mL,4.2,8004,SAZERAC CO INC
541,Juarez Gold Tequila,1000mL,7.8,8352,LUXCO INC
546,Bowman's Rum,1000mL,5.59,8004,SAZERAC CO INC
547,DeKuyper Buttershots,1000mL,10.31,12546,JIM BEAM BRANDS COMPANY
548,DeKuyper Amaretto,1000mL,6.56,12546,JIM BEAM BRANDS COMPANY
549,DeKuyper Melon,1000mL,6.42,12546,JIM BEAM BRANDS COMPANY
551,Cruzan Aged Light Rum,750mL,8.59,12546,JIM BEAM BRANDS COMPANY
557,Bowman's Gin,1000mL,4.84,8004,SAZERAC CO INC
564,DeKuyper Blue Curacao,1000mL,6.61,12546,JIM BEAM BRANDS COMPANY
565,Bombay Dry Gin,1000mL,15.52,480,BACARDI USA INC
567,Ketel One Vodka,1000mL,20.71,3960,DIAGEO NORTH AMERICA INC
573,Bols Sour Apple Schnapps,1000mL,7.19,6213,MHW LTD
576,Pastene Marsala,1500mL,6.92,4425,MARTIGNETTI COMPANIES
582,Berkshire Mtn Dist Bourbon,750mL,28.98,9552,M S WALKER INC
585,1800 Reposado Gold Tequila,1000mL,22.55,7245,PROXIMO SPIRITS INC.
590,Allen's Amaretto Liqueur,1000mL,4.31,9552,M S WALKER INC
592,The Glenlivet Archive 21 Yr,750mL,127.99,17035,PERNOD RICARD USA
593,Citronge Orange Liq,1000mL,25.19,9165,ULTRA BEVERAGE COMPANY LLP
596,Pendleton Canadian Whisky,750mL,17.31,3950,"HOOD RIVER DISTILLERS, Inc."
597,Baileys Irish Cream,1000mL,21.53,3960,DIAGEO NORTH AMERICA INC
598,Stoli Ohranj Orange Vodka,1000mL,19.22,8664,"STOLI GROUP,(USA) LLC      "
599,Stoli Razberi Vodka,1000mL,19.68,8664,"STOLI GROUP,(USA) LLC      "
600,McCormick Gin,1000mL,5.21,5992,MCCORMICK DISTILLING CO
601,McCormick Vodka,1000mL,5.38,5992,MCCORMICK DISTILLING CO
602,McCormick Blended Whiskey,1000mL,5.36,5992,MCCORMICK DISTILLING CO
603,McCormick Gold Rum,1000mL,5.03,5992,MCCORMICK DISTILLING CO
604,McCormick Silver Rum,1000mL,5.14,5992,MCCORMICK DISTILLING CO
605,Alate Kosher Wine,750mL,9.67,10754,PERFECTA WINES
610,Moillard Pnt Nr Bourgogne,750mL,14.48,10754,PERFECTA WINES
630,Pinnacle Vodka,1000mL,11.8,12546,JIM BEAM BRANDS COMPANY
633,Wandering Poet Rihaku Sake,300mL,11.32,653,STATE WINE & SPIRITS
634,Cruzan Aged Light Rum,1000mL,10.21,12546,JIM BEAM BRANDS COMPANY
635,Sobieski Raspberry Vodka,1000mL,7.87,9552,M S WALKER INC
636,Bols Pomegranate Liqueur,1000mL,6.98,6213,MHW LTD
639,Pappy Van Winkle Rsv 20 Yr,750mL,164.28,8004,SAZERAC CO INC
640,Sobieski Orange Vodka,1000mL,7.24,9552,M S WALKER INC
644,Amaretto DiSaronno,1000mL,20.76,2555,DISARONNO INTERNATIONAL LLC
648,Tanqueray Rangpur Gin,1000mL,21.7,3960,DIAGEO NORTH AMERICA INC
649,Sauza Tres Generaciones Pla,750mL,28.67,12546,JIM BEAM BRANDS COMPANY
653,Dom de Canton Ginger Liqueur,750mL,21.73,3924,HEAVEN HILL DISTILLERIES
655,DeKuyper Cactus Juice,750mL,8.08,12546,JIM BEAM BRANDS COMPANY
658,Allen's Triple Sec,1000mL,2.77,9552,M S WALKER INC
659,Rhum Barbancourt Estate RSV,750mL,23.25,6213,MHW LTD
661,Red Stag by Jim Beam,750mL,9.99,12546,JIM BEAM BRANDS COMPANY
664,Ardbeg Uigeadail Scotch,750mL,54.01,8112,MOET HENNESSY USA INC
675,Mount Gay 1703 Old Cask Slct,750mL,78.73,7239,REMY COINTREAU USA INC
676,Pinnacle Whipped Vodka,750mL,8.65,12546,JIM BEAM BRANDS COMPANY
685,Darioush Caravan Red Blend,750mL,36.18,17033,SEA BREEZE CELLARS LLC
689,McManis Pnt Nr Cal,750mL,7.33,653,STATE WINE & SPIRITS
694,Hiram Walker Creme de Cassis,1000mL,6.23,17035,PERNOD RICARD USA
700,Hiram Walker Cr de Cacao Br,1000mL,6.33,17035,PERNOD RICARD USA
702,Skyy Vodka,1000mL,11.95,11567,CAMPARI AMERICA
703,Skyy Infusions Citrus Vodka,1000mL,12.86,11567,CAMPARI AMERICA
704,Van Winkle Special Rsv 12 Yr,750mL,68.69,8004,SAZERAC CO INC
711,Bitter Truth Celery Bitters,200mL,7.4,4425,MARTIGNETTI COMPANIES
714,Allen's Peach Schnapps,1000mL,4.31,9552,M S WALKER INC
715,Hiram Walker Cr de Cacao Wh,1000mL,6.19,17035,PERNOD RICARD USA
726,Allen's Blue Curacao Liqueur,1000mL,4.79,9552,M S WALKER INC
731,Black & White Scotch,1750mL,20.6,3960,DIAGEO NORTH AMERICA INC
735,Orange Quattro di Amore,1000mL,10.81,660,SAZERAC NORTH AMERICA INC.
743,Angels Envy Whiskey,750mL,36.5,480,BACARDI USA INC
748,UV Vodka,1000mL,9.22,9206,PHILLIPS PRODUCTS CO.
753,LaBelle Winery Blueberry,750mL,13.79,90032,LABELLE VYDS AND WINERY
755,Vincent Van Gogh Raspberry,750mL,19.83,4425,MARTIGNETTI COMPANIES
756,Barton Long Island Iced Tea,1000mL,5.34,660,SAZERAC NORTH AMERICA INC.
757,Jim Beam Rye,750mL,13.95,12546,JIM BEAM BRANDS COMPANY
758,Cointreau Liqueur,1000mL,28.77,7239,REMY COINTREAU USA INC
759,Bunnahabhain 12 Yr Single,750mL,37,9165,ULTRA BEVERAGE COMPANY LLP
765,Vincent Van Gogh Dutch Choc,750mL,20.58,4425,MARTIGNETTI COMPANIES
771,Bak's Krupnik Honey Liqueur,750mL,11.44,60,ADAMBA IMPORTS INTL INC
775,Barton Light Rum,1000mL,4.56,660,SAZERAC NORTH AMERICA INC.
776,Jim Beam Black,1000mL,18.1,12546,JIM BEAM BRANDS COMPANY
778,Svedka Vodka,1000mL,10.23,1392,CONSTELLATION BRANDS INC
779,Svedka Raspberry Vodka,1000mL,9.55,1392,CONSTELLATION BRANDS INC
782,Remy Martin 1738 Accord Ryl,750mL,35.15,7239,REMY COINTREAU USA INC
784,Allen's Sour Apple Liqueur,1000mL,4.57,9552,M S WALKER INC
787,Cherry Heering Liqueur,750mL,17.85,9165,ULTRA BEVERAGE COMPANY LLP
800,Jameson Irish Whiskey,1000mL,24.02,17035,PERNOD RICARD USA
803,Bacardi Gold Rum,1000mL,9.92,480,BACARDI USA INC
804,Bacardi Limon Rum,1000mL,11.56,480,BACARDI USA INC
806,DeKuyper Peachtree Schnapps,1000mL,10.39,12546,JIM BEAM BRANDS COMPANY
807,Jim Beam,1000mL,13.23,12546,JIM BEAM BRANDS COMPANY
809,Southern Comfort,1000mL,13.13,8004,SAZERAC CO INC
811,Jack Daniel's No 7 Black,1000mL,24.02,1128,BROWN-FORMAN CORP
812,Jagermeister Liqueur,1000mL,17.03,3089,SIDNEY FRANK IMPORTING CO
818,Gordons London Dry Gin,1000mL,7.35,3960,DIAGEO NORTH AMERICA INC
821,Grand Marnier,1000mL,27.99,8112,MOET HENNESSY USA INC
822,Tanqueray,1000mL,19.99,3960,DIAGEO NORTH AMERICA INC
823,Johnnie Walker Red Label,1000mL,20.43,3960,DIAGEO NORTH AMERICA INC
824,Dewar's White Label,1000mL,22.21,480,BACARDI USA INC
825,Johnnie Walker Black Label,1000mL,29.99,3960,DIAGEO NORTH AMERICA INC
826,Clan MacGregor Scotch,1000mL,9.59,3664,WILLIAM GRANT & SONS INC
827,Bols Anisette,1000mL,7.4,6213,MHW LTD
828,Bols Sloe Gin,1000mL,7.74,6213,MHW LTD
830,Bols White Creme De Menthe,1000mL,7.35,6213,MHW LTD
831,Bols Green Creme De Menthe,1000mL,7.46,6213,MHW LTD
832,Bols Strawberry Liqueur,1000mL,7.24,6213,MHW LTD
833,Bols White Creme De Cacao,1000mL,7.99,6213,MHW LTD
834,Bols Brown Creme de Cacao,1000mL,7.68,6213,MHW LTD
836,Bols Creme de Cassis,1000mL,7.8,6213,MHW LTD
837,Bols Creme de Banana,1000mL,7.93,6213,MHW LTD
838,Bols Cherry Flavored Brandy,1000mL,7.96,6213,MHW LTD
839,Bols Ginger Brandy,1000mL,7.6,6213,MHW LTD
840,Bols Peach Flavored Brandy,1000mL,8.79,6213,MHW LTD
844,Bols Melon Liqueur,1000mL,7.19,6213,MHW LTD
845,Bols Amaretto Liqueur,1000mL,7.19,6213,MHW LTD
846,Chinaco Anejo Tequila,750mL,59.25,9165,ULTRA BEVERAGE COMPANY LLP
847,Glenfiddich 12 Year Old Sco,1000mL,35.65,3664,WILLIAM GRANT & SONS INC
849,Bols Peach Schnapps,1000mL,7.35,6213,MHW LTD
851,Bols Bohemian Raspberry,1000mL,7.74,6213,MHW LTD
854,Seagrams VO Canadian Whiskey,1000mL,11.67,3960,DIAGEO NORTH AMERICA INC
855,Black Velvet,1000mL,8.65,1392,CONSTELLATION BRANDS INC
857,Kahlua,1000mL,16.17,17035,PERNOD RICARD USA
858,Canadian Club,1000mL,8.95,12546,JIM BEAM BRANDS COMPANY
859,Beefeater Gin,1000mL,17.29,17035,PERNOD RICARD USA
860,Bols Orange Curacao,1000mL,8.79,6213,MHW LTD
861,Barton Gin,1000mL,4.67,660,SAZERAC NORTH AMERICA INC.
862,Jacques Bonet Brandy,1000mL,6.05,660,SAZERAC NORTH AMERICA INC.
863,Ten High Bourbon,1000mL,5.83,660,SAZERAC NORTH AMERICA INC.
864,Montezuma Tequila Gold,1000mL,5.22,660,SAZERAC NORTH AMERICA INC.
865,Montezuma Tequila White,1000mL,5.5,660,SAZERAC NORTH AMERICA INC.
867,Rosita Tequila Liqueur,1000mL,5.52,3924,HEAVEN HILL DISTILLERIES
869,DeKuyper Anisette,1000mL,7.57,12546,JIM BEAM BRANDS COMPANY
870,Carpano Antica Formula,1000mL,17.64,9165,ULTRA BEVERAGE COMPANY LLP
871,DeKuyper Blackberry Brandy,1000mL,7.51,12546,JIM BEAM BRANDS COMPANY
872,DeKuyper Cherry Brandy,1000mL,7.19,12546,JIM BEAM BRANDS COMPANY
874,DeKuyper Creme de Banana,1000mL,6.71,12546,JIM BEAM BRANDS COMPANY
875,DeKuyper Creme de Cacao Dark,1000mL,6.56,12546,JIM BEAM BRANDS COMPANY
876,DeKuyper Creme de Cacao Whit,1000mL,6.66,12546,JIM BEAM BRANDS COMPANY
877,DeKuyper Creme de Cassis,1000mL,7.02,12546,JIM BEAM BRANDS COMPANY
878,DeKuyper Green Creme de Ment,1000mL,7.46,12546,JIM BEAM BRANDS COMPANY
880,Sobieski Vanilla Vodka,1000mL,7.57,9552,M S WALKER INC
881,DeKuyper Hazelnut,1000mL,6.56,12546,JIM BEAM BRANDS COMPANY
882,DeKuyper Hot Damn Cinnamon,1000mL,10.39,12546,JIM BEAM BRANDS COMPANY
883,Patron Burdeos Anejo Tequila,750mL,390.62,9165,ULTRA BEVERAGE COMPANY LLP
884,DeKuyper Orange Curacao,1000mL,7.08,12546,JIM BEAM BRANDS COMPANY
886,DeKuyper Peppermint,1000mL,9.41,12546,JIM BEAM BRANDS COMPANY
887,DeKuyper Razzmatazz,1000mL,10.15,12546,JIM BEAM BRANDS COMPANY
888,DeKuyper Sloe Gin,1000mL,7.19,12546,JIM BEAM BRANDS COMPANY
889,DeKuyper Sour Apple Pucker,1000mL,9.84,12546,JIM BEAM BRANDS COMPANY
890,Sobieski Cytron Vodka,1000mL,7.46,9552,M S WALKER INC
892,Uncle Val's Botanical Gin,750mL,24.99,653,STATE WINE & SPIRITS
893,Tortilla Gold Liqueur,1000mL,5.3,8004,SAZERAC CO INC
895,Sambuca Romana,1000mL,18.17,3960,DIAGEO NORTH AMERICA INC
896,Rumpleminze,1000mL,18.6,3960,DIAGEO NORTH AMERICA INC
897,Montezuma Blue,1000mL,4.92,660,SAZERAC NORTH AMERICA INC.
899,Absolut Mandrin,1000mL,14.5,17035,PERNOD RICARD USA
900,Capt Morgan Parrot Bay Coco,1000mL,11.19,3960,DIAGEO NORTH AMERICA INC
903,Bombay Sapphire Gin,1000mL,18.79,480,BACARDI USA INC
904,Malibu Rum,1000mL,12.22,17035,PERNOD RICARD USA
905,DeKuyper Grape Pucker,1000mL,9.62,12546,JIM BEAM BRANDS COMPANY
906,DeKuyper Watermelon Pucker,1000mL,10.15,12546,JIM BEAM BRANDS COMPANY
912,Smirnoff Vanilla Vodka,1000mL,11.15,3960,DIAGEO NORTH AMERICA INC
913,Smirnoff Raspberry Vodka,1000mL,10.58,3960,DIAGEO NORTH AMERICA INC
914,Smirnoff Orange Vodka,1000mL,11.5,3960,DIAGEO NORTH AMERICA INC
915,Smirnoff Citrus Vodka,1000mL,10.98,3960,DIAGEO NORTH AMERICA INC
920,Sobieski Vodka,1000mL,7.57,9552,M S WALKER INC
921,El Tesoro Platinum Tequila,750mL,39.54,12546,JIM BEAM BRANDS COMPANY
924,Lombardo Marsala Ambra Dry,750mL,4.28,8320,SHAW ROSS INT L IMP LTD
925,Hangar One Vodka,750mL,21.37,7245,PROXIMO SPIRITS INC.
927,Hangar One Mandarin Blossom,750mL,20.28,7245,PROXIMO SPIRITS INC.
929,DeKuyper Island Punch Pucker,1000mL,9.28,12546,JIM BEAM BRANDS COMPANY
932,Robert Sinskey Marcien Red,750mL,55.91,10754,PERFECTA WINES
934,Tanteo Jalapeno Tequila,750mL,26.08,9165,ULTRA BEVERAGE COMPANY LLP
942,Glenmorangie Nectar D'Or,750mL,45.45,8112,MOET HENNESSY USA INC
945,Vincent Van Gogh Pineapple,750mL,20.43,4425,MARTIGNETTI COMPANIES
950,Mastersons 10 Yr Old Rye,750mL,58.82,653,STATE WINE & SPIRITS
961,Maschio Prime Arance,750mL,34.58,4425,MARTIGNETTI COMPANIES
966,Citronge Orange Liqu,750mL,18.7,9165,ULTRA BEVERAGE COMPANY LLP
971,Sauza Extra Gold Tequila,1000mL,11.42,12546,JIM BEAM BRANDS COMPANY
975,Drambuie,1000mL,26.31,3664,WILLIAM GRANT & SONS INC
976,McCormick Gold Label Bourbon,1000mL,7.47,5992,MCCORMICK DISTILLING CO
977,McCormick Scotch,1000mL,8.98,5992,MCCORMICK DISTILLING CO
978,Ron Rio Silver Rum,1000mL,5.3,5992,MCCORMICK DISTILLING CO
979,Pancho Villa Rojo,1000mL,5.9,5992,MCCORMICK DISTILLING CO
981,McCormick Triple Sec,1000mL,2.89,5992,MCCORMICK DISTILLING CO
982,McCormick Long Island Iced,1000mL,5.46,5992,MCCORMICK DISTILLING CO
984,Patron XO Cafe Liqueur,750mL,20.63,9165,ULTRA BEVERAGE COMPANY LLP
989,Absolut Pears,1000mL,14.59,17035,PERNOD RICARD USA
994,Absolut Peach,1000mL,17.64,17035,PERNOD RICARD USA
995,Absolut Ruby Red,1000mL,15.99,17035,PERNOD RICARD USA
996,Herradura Seleccion Suprema,750mL,222.21,1128,BROWN-FORMAN CORP
998,Corralejo Blanco Tequila,750mL,18.51,9165,ULTRA BEVERAGE COMPANY LLP
999,Jameson 18 Year Old,750mL,89.84,17035,PERNOD RICARD USA
1004,Jim Beam Black w/ Glass VAP,750mL,19.68,12546,JIM BEAM BRANDS COMPANY
1008,Broken Barrel Bourbon,750mL,24.44,9165,ULTRA BEVERAGE COMPANY LLP
1011,Basil Hayden Dark Rye Wsky,750mL,28.78,12546,JIM BEAM BRANDS - BAILMENT
1012,Courvoisier VSOP w/ Decanter,750mL,29.1,12546,JIM BEAM BRANDS COMPANY
1016,Empress 1908 Gin,750mL,30.53,4425,MARTIGNETTI COMPANIES
1017,Wheatley Vodka,750mL,14.28,2555,DISARONNO INTERNATIONAL LLC
1025,Fulton's Harvest Pumpkin Liq,750mL,5.26,3924,HEAVEN HILL DISTILLERIES
1028,Amaretto di Amore VAP,750mL,7.51,660,SAZERAC NORTH AMERICA INC.
1034,Mr Boston Holiday Nog,750mL,3.81,660,SAZERAC NORTH AMERICA INC.
1045,Glenfiddich Trio 200ml Pack,200mL 3 Pk,33.55,3664,WILLIAM GRANT & SONS INC
1049,Old New England Pumpkin Nog,750mL,5.55,9552,M S WALKER INC
1058,Tamworth Skiklubben Wht Mt,750mL,31,1128,BROWN-FORMAN CORP
1062,St Christopher Gluhwein Red,1000mL,7.02,9622,WEIN BAUER INC
1064,Jack Daniel's Honey VAP,750mL,19.11,1128,BROWN-FORMAN CORP
1069,Spade&Bushel 10yr Irish Wsky,375mL,28.56,9165,ULTRA BEVERAGE COMPANY LLP
1074,Brothership Whiskey,750mL,38.16,9165,ULTRA BEVERAGE COMPANY LLP
1088,El Jimador Anejo Tequila,750mL,17.38,1128,BROWN-FORMAN CORP
1090,Licor 43 Liqueur Gift Pack,750mL,17.59,4425,MARTIGNETTI COMPANIES
1094,Four Roses Single Barrel Brb,750mL,29.92,9552,M S WALKER INC
